,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
-260,-6.458,-6.457,-6.456,-6.455,-6.453,-6.452,-6.45,-6.448,-6.446,-6.444,-6.441,-6.438,-6.436,-6.433999999999999,-6.4319999999999995,-6.43,-6.428999999999999,-6.427,-6.425999999999999,-6.425,-6.4239999999999995
-250,-6.441,-6.438,-6.435,-6.432,-6.429,-6.425,-6.421,-6.417,-6.413,-6.408,-6.404,-6.3999999999999995,-6.395,-6.391,-6.387,-6.383,-6.379,-6.3759999999999994,-6.373,-6.37,-6.367
-240,-6.404,-6.399,-6.393,-6.388,-6.382,-6.377,-6.37,-6.364,-6.358,-6.351,-6.344,-6.337000000000001,-6.330000000000001,-6.324000000000001,-6.3180000000000005,-6.311000000000001,-6.306000000000001,-6.300000000000001,-6.295000000000001,-6.289000000000001,-6.284000000000001
-230,-6.344,-6.337,-6.329,-6.322,-6.314,-6.306,-6.297,-6.289,-6.28,-6.271,-6.262,-6.252999999999999,-6.243999999999999,-6.234999999999999,-6.226999999999999,-6.217999999999999,-6.209999999999999,-6.201999999999999,-6.194999999999999,-6.186999999999999,-6.179999999999999
-220,-6.262,-6.252,-6.243,-6.233,-6.223,-6.213,-6.202,-6.192,-6.181,-6.17,-6.158,-6.146000000000001,-6.135000000000001,-6.1240000000000006,-6.114000000000001,-6.103000000000001,-6.093000000000001,-6.083000000000001,-6.073,-6.064000000000001,-6.054000000000001
-210,-6.158,-6.147,-6.135,-6.123,-6.111,-6.099,-6.087,-6.074,-6.061,-6.048,-6.035,-6.022,-6.009,-5.996,-5.9830000000000005,-5.971,-5.9590000000000005,-5.947,-5.9350000000000005,-5.923,-5.912
-200,-6.035,-6.021,-6.007,-5.994,-5.98,-5.965,-5.951,-5.936,-5.922,-5.907,-5.891,-5.875,-5.86,-5.846,-5.831,-5.817,-5.802,-5.788,-5.775,-5.761,-5.747
-190,-5.891,-5.876,-5.861,-5.845,-5.829,-5.813,-5.797,-5.78,-5.763,-5.747,-5.73,-5.713000000000001,-5.697000000000001,-5.680000000000001,-5.663000000000001,-5.647000000000001,-5.631000000000001,-5.615000000000001,-5.599000000000001,-5.5840000000000005,-5.569000000000001
-180,-5.73,-5.713,-5.695,-5.678,-5.66,-5.642,-5.624,-5.606,-5.588,-5.569,-5.55,-5.531,-5.512,-5.494,-5.476,-5.457999999999999,-5.4399999999999995,-5.422,-5.404999999999999,-5.387,-5.369999999999999
-170,-5.55,-5.531,-5.512,-5.493,-5.474,-5.454,-5.435,-5.415,-5.395,-5.374,-5.354,-5.3340000000000005,-5.313000000000001,-5.293,-5.273000000000001,-5.2540000000000004,-5.234,-5.215,-5.196000000000001,-5.1770000000000005,-5.158
-160,-5.354,-5.333,-5.313,-5.292,-5.271,-5.25,-5.228,-5.207,-5.185,-5.163,-5.141,-5.119,-5.097,-5.075,-5.054,-5.032,-5.011,-4.99,-4.969,-4.949,-4.928
-150,-5.141,-5.119,-5.097,-5.074,-5.052,-5.029,-5.006,-4.983,-4.96,-4.936,-4.913,-4.890000000000001,-4.8660000000000005,-4.843000000000001,-4.82,-4.797000000000001,-4.774000000000001,-4.752000000000001,-4.729,-4.707000000000001,-4.6850000000000005
-140,-4.913,-4.889,-4.865,-4.841,-4.817,-4.793,-4.768,-4.744,-4.719,-4.694,-4.669,-4.643999999999999,-4.618999999999999,-4.593999999999999,-4.569999999999999,-4.544999999999999,-4.520999999999999,-4.496999999999999,-4.472999999999999,-4.448999999999999,-4.424999999999999
-130,-4.669,-4.644,-4.618,-4.593,-4.567,-4.542,-4.516,-4.49,-4.463,-4.437,-4.411,-4.384999999999999,-4.358999999999999,-4.331999999999999,-4.305999999999999,-4.279999999999999,-4.254999999999999,-4.228999999999999,-4.203999999999999,-4.177999999999999,-4.153
-120,-4.411,-4.384,-4.357,-4.33,-4.303,-4.276,-4.249,-4.221,-4.194,-4.166,-4.138,-4.109999999999999,-4.082,-4.055,-4.027,-4.0,-3.973,-3.9459999999999997,-3.9189999999999996,-3.8919999999999995,-3.865
-110,-4.138,-4.11,-4.082,-4.054,-4.025,-3.997,-3.968,-3.939,-3.911,-3.882,-3.852,-3.8219999999999996,-3.7929999999999997,-3.7649999999999997,-3.7359999999999998,-3.707,-3.6789999999999994,-3.6499999999999995,-3.622,-3.5939999999999994,-3.566
-100,-3.852,-3.823,-3.794,-3.764,-3.734,-3.705,-3.675,-3.645,-3.614,-3.584,-3.554,-3.5239999999999996,-3.4939999999999998,-3.4629999999999996,-3.433,-3.4029999999999996,-3.3739999999999997,-3.344,-3.3139999999999996,-3.2849999999999997,-3.256
-90,-3.554,-3.523,-3.492,-3.462,-3.431,-3.4,-3.368,-3.337,-3.306,-3.274,-3.243,-3.2119999999999997,-3.1799999999999997,-3.1489999999999996,-3.118,-3.086,-3.0549999999999997,-3.0239999999999996,-2.9939999999999998,-2.9629999999999996,-2.932
-80,-3.243,-3.211,-3.179,-3.147,-3.115,-3.083,-3.05,-3.018,-2.986,-2.953,-2.92,-2.887,-2.8539999999999996,-2.822,-2.79,-2.7569999999999997,-2.7249999999999996,-2.693,-2.661,-2.629,-2.597
-70,-2.92,-2.887,-2.854,-2.821,-2.788,-2.755,-2.721,-2.688,-2.654,-2.62,-2.587,-2.5540000000000003,-2.5200000000000005,-2.486,-2.4530000000000003,-2.4190000000000005,-2.3860000000000006,-2.353,-2.3200000000000003,-2.2870000000000004,-2.2540000000000004
-60,-2.587,-2.553,-2.519,-2.485,-2.45,-2.416,-2.382,-2.347,-2.312,-2.278,-2.243,-2.2079999999999997,-2.174,-2.139,-2.1039999999999996,-2.07,-2.0359999999999996,-2.001,-1.9669999999999996,-1.9329999999999998,-1.8989999999999996
-50,-2.243,-2.208,-2.173,-2.138,-2.103,-2.067,-2.032,-1.996,-1.961,-1.925,-1.889,-1.853,-1.817,-1.782,-1.746,-1.7109999999999999,-1.6749999999999998,-1.6400000000000001,-1.605,-1.5699999999999998,-1.5350000000000001
-40,-1.889,-1.854,-1.818,-1.782,-1.745,-1.709,-1.673,-1.637,-1.6,-1.564,-1.527,-1.4899999999999998,-1.4539999999999997,-1.4169999999999998,-1.3809999999999998,-1.3449999999999998,-1.3089999999999997,-1.2719999999999998,-1.2359999999999998,-1.1999999999999997,-1.1649999999999998
-30,-1.527,-1.49,-1.453,-1.417,-1.38,-1.343,-1.305,-1.268,-1.231,-1.194,-1.156,-1.1179999999999999,-1.0809999999999997,-1.0439999999999998,-1.007,-0.9689999999999999,-0.9319999999999999,-0.8949999999999998,-0.8589999999999998,-0.8219999999999998,-0.7849999999999999
-20,-1.156,-1.119,-1.081,-1.043,-1.006,-0.968,-0.93,-0.892,-0.854,-0.816,-0.778,-0.7400000000000001,-0.7020000000000001,-0.664,-0.626,-0.5880000000000001,-0.55,-0.5130000000000001,-0.4750000000000001,-0.43700000000000006,-0.40000000000000013
-10,-0.778,-0.739,-0.701,-0.663,-0.624,-0.586,-0.547,-0.508,-0.47,-0.431,-0.392,-0.35300000000000004,-0.31400000000000006,-0.276,-0.237,-0.19800000000000006,-0.16000000000000003,-0.121,-0.08300000000000007,-0.04500000000000004,-0.006000000000000005
0,-0.392,-0.353,-0.314,-0.275,-0.236,-0.197,-0.157,-0.118,-0.079,-0.039,0.0,0.039,0.079,0.119,0.158,0.198,0.238,0.277,0.317,0.357,0.397
10,-0.0040000000000000036,0.03600000000000003,0.07600000000000007,0.11699999999999999,0.15700000000000003,0.19700000000000006,0.237,0.277,0.31700000000000006,0.35700000000000004,0.397,0.437,0.477,0.517,0.557,0.597,0.637,0.677,0.718,0.758,0.798
20,0.393,0.43300000000000005,0.474,0.5150000000000001,0.5550000000000002,0.5960000000000001,0.6360000000000001,0.677,0.7170000000000001,0.7580000000000001,0.798,0.838,0.879,0.919,0.96,1.0,1.041,1.081,1.122,1.163,1.203
30,0.794,0.8350000000000002,0.8760000000000001,0.917,0.9580000000000002,0.9990000000000001,1.04,1.08,1.1210000000000002,1.1620000000000001,1.203,1.244,1.285,1.326,1.366,1.407,1.448,1.489,1.53,1.571,1.612
40,1.201,1.2420000000000002,1.2830000000000001,1.3250000000000002,1.366,1.4070000000000003,1.4480000000000002,1.489,1.5300000000000002,1.5710000000000002,1.612,1.653,1.694,1.735,1.776,1.817,1.858,1.899,1.941,1.982,2.023
50,1.6100000000000003,1.6510000000000002,1.6920000000000002,1.7340000000000004,1.7750000000000004,1.8160000000000003,1.858,1.8990000000000005,1.9400000000000004,1.9820000000000002,2.023,2.064,2.106,2.147,2.188,2.23,2.271,2.312,2.354,2.395,2.436
60,2.021,2.062,2.104,2.145,2.187,2.2279999999999998,2.27,2.311,2.3529999999999998,2.3939999999999997,2.436,2.478,2.519,2.561,2.602,2.644,2.685,2.727,2.768,2.81,2.851
70,2.435,2.477,2.518,2.56,2.602,2.643,2.685,2.726,2.768,2.809,2.851,2.893,2.934,2.976,3.017,3.059,3.1,3.142,3.184,3.225,3.267
80,2.852,2.8939999999999997,2.9349999999999996,2.977,3.018,3.0599999999999996,3.101,3.143,3.1839999999999997,3.226,3.267,3.308,3.35,3.391,3.433,3.474,3.516,3.557,3.599,3.64,3.682
90,3.268,3.309,3.351,3.392,3.433,3.475,3.516,3.558,3.5989999999999998,3.641,3.682,3.723,3.765,3.806,3.848,3.889,3.931,3.972,4.013,4.055,4.096
100,3.683,3.724,3.7650000000000006,3.8070000000000004,3.848,3.8890000000000002,3.9300000000000006,3.9720000000000004,4.013,4.054,4.096,4.138,4.179,4.22,4.262,4.303,4.344,4.385,4.427,4.468,4.509
110,4.098000000000001,4.139000000000001,4.180000000000001,4.221000000000001,4.2620000000000005,4.303000000000001,4.344,4.385000000000001,4.4270000000000005,4.468000000000001,4.509,4.55,4.591,4.633,4.674,4.715,4.756,4.797,4.838,4.879,4.92
120,4.512,4.552,4.593,4.6339999999999995,4.675,4.716,4.756,4.797,4.838,4.879,4.92,4.961,5.002,5.043,5.084,5.124,5.165,5.206,5.247,5.288,5.328
130,4.921,4.962000000000001,5.003000000000001,5.043,5.0840000000000005,5.1240000000000006,5.165000000000001,5.206,5.246,5.287000000000001,5.328,5.369,5.41,5.45,5.491,5.532,5.572,5.613,5.653,5.694,5.735
140,5.332000000000001,5.372000000000001,5.412000000000001,5.453,5.493,5.533,5.574000000000001,5.614000000000001,5.655,5.695,5.735,5.775,5.815,5.856,5.896,5.937,5.977,6.017,6.058,6.098,6.138
150,5.736,5.776,5.816,5.856,5.896,5.936999999999999,5.976999999999999,6.0169999999999995,6.0569999999999995,6.0969999999999995,6.138,6.179,6.219,6.259,6.299,6.339,6.38,6.42,6.46,6.5,6.54
160,6.139,6.179,6.219,6.259,6.299,6.339,6.3790000000000004,6.42,6.46,6.5,6.54,6.58,6.62,6.66,6.701,6.741,6.781,6.821,6.861,6.901,6.941
170,6.542,6.582,6.622,6.662,6.702,6.742,6.782,6.822,6.861,6.901,6.941,6.981,7.021,7.06,7.1,7.14,7.18,7.22,7.26,7.3,7.34
180,6.941,6.981,7.021,7.061,7.101,7.14,7.18,7.22,7.26,7.3,7.34,7.38,7.42,7.46,7.5,7.54,7.579,7.619,7.659,7.699,7.739
190,7.34,7.379,7.4190000000000005,7.459,7.499,7.539,7.579,7.619,7.659,7.699,7.739,7.779,7.819,7.859,7.899,7.939,7.979,8.019,8.059,8.099,8.138
200,7.737,7.776999999999999,7.818,7.8580000000000005,7.898,7.938000000000001,7.978,8.018,8.058,8.097999999999999,8.138,8.178,8.218,8.258,8.298,8.338,8.378,8.418,8.458,8.499,8.539
210,8.138,8.177999999999999,8.218,8.258999999999999,8.299,8.338999999999999,8.379,8.418999999999999,8.459,8.498999999999999,8.539,8.579,8.619,8.659,8.699,8.739,8.779,8.819,8.86,8.9,8.94
220,8.536999999999999,8.578,8.617999999999999,8.658,8.699,8.738999999999999,8.778999999999998,8.818999999999999,8.86,8.899999999999999,8.94,8.98,9.02,9.061,9.101,9.141,9.181,9.222,9.262,9.302,9.343
230,8.939,8.979,9.02,9.06,9.100999999999999,9.141,9.182,9.222,9.263,9.303,9.343,9.383,9.423,9.464,9.504,9.545,9.585,9.626,9.666,9.707,9.747
240,9.341,9.381,9.422,9.463,9.503,9.544,9.584999999999999,9.625,9.666,9.706,9.747,9.788,9.828,9.869,9.909,9.95,9.991,10.031,10.072,10.113,10.153
250,9.745000000000001,9.786000000000001,9.826,9.867,9.908000000000001,9.949000000000002,9.99,10.030000000000001,10.071000000000002,10.112,10.153,10.194,10.235,10.276,10.316,10.357,10.398,10.439,10.48,10.52,10.561
260,10.151,10.192,10.233,10.274,10.315,10.356,10.397,10.438,10.479,10.52,10.561,10.602,10.643,10.684,10.725,10.766,10.807,10.848,10.889,10.93,10.971
270,10.56,10.601,10.642,10.683,10.725,10.766,10.807,10.848,10.889,10.93,10.971,11.012,11.053,11.094,11.135,11.176,11.217,11.259,11.3,11.341,11.382
280,10.969,11.011,11.052,11.093,11.133999999999999,11.176,11.216999999999999,11.258,11.299,11.341,11.382,11.423,11.465,11.506,11.547,11.588,11.63,11.671,11.712,11.753,11.795
290,11.381,11.423,11.464,11.506,11.547,11.589,11.629999999999999,11.671,11.713,11.754,11.795,11.836,11.877,11.919,11.96,12.001,12.043,12.084,12.126,12.167,12.209
300,11.793999999999999,11.835999999999999,11.878,11.918999999999999,11.960999999999999,12.001999999999999,12.043999999999999,12.084999999999999,12.126999999999999,12.168,12.209,12.25,12.291,12.333,12.374,12.416,12.457,12.499,12.54,12.582,12.624
310,12.208000000000002,12.250000000000002,12.292000000000002,12.333000000000002,12.375000000000002,12.417000000000002,12.458000000000002,12.500000000000002,12.541,12.583000000000002,12.624,12.665,12.707,12.748,12.79,12.831,12.873,12.915,12.956,12.998,13.04
320,12.622999999999998,12.665,12.706999999999999,12.748999999999999,12.79,12.831999999999999,12.873999999999999,12.915,12.956999999999999,12.998999999999999,13.04,13.081,13.123,13.165,13.206,13.248,13.29,13.331,13.373,13.415,13.457
330,13.040000000000001,13.081000000000001,13.123000000000001,13.165000000000001,13.207,13.249000000000002,13.290000000000001,13.332,13.374000000000002,13.416000000000002,13.457,13.498,13.54,13.582,13.624,13.665,13.707,13.749,13.791,13.833,13.874
340,13.455000000000002,13.497000000000002,13.539000000000001,13.581000000000001,13.622000000000002,13.664000000000001,13.706000000000001,13.748000000000001,13.790000000000001,13.832,13.874,13.916,13.958,14.0,14.042,14.084,14.126,14.167,14.209,14.251,14.293
350,13.873,13.915,13.956999999999999,13.998999999999999,14.040999999999999,14.082999999999998,14.124999999999998,14.166999999999998,14.208999999999998,14.250999999999998,14.293,14.335,14.377,14.419,14.461,14.503,14.545,14.587,14.629,14.671,14.713
360,14.293,14.334999999999999,14.376999999999999,14.418999999999999,14.460999999999999,14.502999999999998,14.544999999999998,14.586999999999998,14.628999999999998,14.670999999999998,14.713,14.755,14.797,14.839,14.881,14.923,14.965,15.007,15.049,15.091,15.133
370,14.711999999999998,14.754999999999999,14.796999999999999,14.838999999999999,14.880999999999998,14.922999999999998,14.964999999999998,15.006999999999998,15.048999999999998,15.090999999999998,15.133,15.175,15.217,15.259,15.301,15.343,15.385,15.427,15.469,15.511,15.554
380,15.133000000000001,15.175,15.217,15.259,15.302000000000001,15.344000000000001,15.386000000000001,15.428,15.47,15.512,15.554,15.596,15.638,15.68,15.722,15.764,15.806,15.849,15.891,15.933,15.975
390,15.553,15.594999999999999,15.637,15.68,15.721999999999998,15.764,15.806000000000001,15.847999999999999,15.890999999999998,15.933,15.975,16.017,16.059,16.102,16.144,16.186,16.228,16.27,16.313,16.355,16.397
400,15.973999999999997,16.016,16.058999999999997,16.100999999999996,16.142999999999997,16.185999999999996,16.227999999999998,16.269999999999996,16.311999999999998,16.354999999999997,16.397,16.439,16.482,16.524,16.566,16.608,16.651,16.693,16.735,16.778,16.82
410,16.397000000000002,16.439,16.482,16.524,16.566,16.609,16.651,16.693,16.736,16.778000000000002,16.82,16.862,16.904,16.947,16.989,17.031,17.074,17.116,17.158,17.201,17.243
420,16.818999999999996,16.862,16.903999999999996,16.945999999999998,16.988999999999997,17.031,17.072999999999997,17.115999999999996,17.157999999999998,17.200999999999997,17.243,17.285,17.328,17.37,17.413,17.455,17.497,17.54,17.582,17.624,17.667
430,17.243000000000002,17.285000000000004,17.328000000000003,17.370000000000005,17.413000000000004,17.455000000000002,17.497000000000003,17.540000000000003,17.582000000000004,17.625000000000004,17.667,17.709,17.752,17.794,17.837,17.879,17.921,17.964,18.006,18.049,18.091
440,17.666000000000004,17.709000000000003,17.751,17.794,17.836000000000002,17.879,17.921000000000003,17.964000000000002,18.006000000000004,18.048000000000002,18.091,18.134,18.176,18.218,18.261,18.303,18.346,18.388,18.431,18.473,18.516
450,18.090999999999998,18.133999999999997,18.175999999999995,18.218999999999998,18.260999999999996,18.303999999999995,18.345999999999997,18.388999999999996,18.430999999999997,18.473999999999997,18.516,18.558,18.601,18.643,18.686,18.728,18.771,18.813,18.856,18.898,18.941
460,18.516,18.557999999999996,18.601,18.642999999999997,18.685999999999996,18.727999999999998,18.770999999999997,18.813999999999997,18.855999999999998,18.898999999999997,18.941,18.983,19.026,19.068,19.111,19.154,19.196,19.239,19.281,19.324,19.366
470,18.939999999999998,18.982,19.025,19.067999999999998,19.11,19.153,19.195,19.238,19.281,19.323,19.366,19.409,19.451,19.494,19.537,19.579,19.622,19.664,19.707,19.75,19.792
480,19.366000000000003,19.409000000000002,19.451000000000004,19.494000000000003,19.536000000000005,19.579000000000004,19.622000000000003,19.664,19.707000000000004,19.749000000000002,19.792,19.835,19.877,19.92,19.962,20.005,20.048,20.09,20.133,20.175,20.218
490,19.792,19.834,19.877,19.92,19.962,20.005,20.047,20.09,20.133,20.175,20.218,20.261,20.303,20.346,20.389,20.431,20.474,20.516,20.559,20.602,20.644
500,20.216999999999995,20.259999999999998,20.302999999999997,20.344999999999995,20.387999999999998,20.430999999999997,20.472999999999995,20.516,20.557999999999996,20.600999999999996,20.644,20.687,20.73,20.772,20.815,20.857,20.9,20.943,20.985,21.028,21.071
510,20.645000000000003,20.688000000000002,20.730000000000004,20.773000000000003,20.816000000000003,20.858000000000004,20.901000000000003,20.943,20.986000000000004,21.029000000000003,21.071,21.113,21.156,21.199,21.241,21.284,21.326,21.369,21.412,21.454,21.497
520,21.07,21.113,21.156,21.198,21.241,21.284,21.326,21.369,21.412,21.454,21.497,21.54,21.582,21.625,21.668,21.71,21.753,21.796,21.838,21.881,21.924
530,21.497999999999998,21.541,21.583,21.625999999999998,21.669,21.711,21.753999999999998,21.796,21.839,21.881999999999998,21.924,21.966,22.009,22.052,22.094,22.137,22.179,22.222,22.265,22.307,22.35
540,21.924000000000003,21.966,22.009000000000004,22.051000000000002,22.094,22.137000000000004,22.179000000000002,22.222,22.265000000000004,22.307000000000002,22.35,22.393,22.435,22.478,22.521,22.563,22.606,22.649,22.691,22.734,22.776
